chembl_id,ic50_nm,units,relation,smiles,mw,logp
CHEMBL284471,25.0,nM,=,COc1ccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc(-c3ccc(OC)cc3)c2OCC(=O)O)cc1,662.8070000000001,10.640699999999994
CHEMBL284763,81.28,nM,=,O=C(O)CNc1cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)ccc1OCCc1ccccc1,553.6580000000004,8.475600000000004
CHEMBL24331,28.0,nM,=,O=C(O)c1ccc(S(=O)(=O)Oc2ccc(-c3ccc(-c4c(Cc5ccccc5)oc5ccccc45)cc3)cc2C2CCCC2)cc1O,644.745,9.186699999999998
CHEMBL1086499,169.82,nM,=,CCCCc1sc2ccccc2c1-c1ccc(-c2ccc(O[C@H](Cc3ccccc3)C(=O)O)cc2)cc1,506.6670000000002,8.652600000000005
CHEMBL284765,52.0,nM,=,CCOc1ccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)ccc2OCC(=O)O)cc1,570.7100000000003,9.355200000000002
CHEMBL25395,100.0,nM,=,COc1cc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)ccc2OCC(=O)O)cc(OC)c1OC,616.7350000000001,8.982300000000002
CHEMBL282708,320.0,nM,=,CCCCc1oc2ccccc2c1Cc1ccc2c(I)c(OC(Cc3ccccc3)C(=O)O)ccc2c1,604.4840000000002,8.198700000000006
CHEMBL276983,75.0,nM,=,O=C(O)c1ccc(S(=O)(=O)Oc2ccc(-c3ccc(-c4c(Cc5ccccc5)oc5ccccc45)cc3)cc2)cc1,560.6270000000003,7.823500000000007
CHEMBL25368,28.0,nM,=,O=C(O)c1ccc(S(=O)(=O)Oc2ccc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc2)cc1O,592.6940000000003,7.997600000000006
CHEMBL278094,178.0,nM,=,O=C(O)c1ccc(S(=O)(=O)Oc2ccc(-c3ccc(-c4c(C(=O)c5ccccc5)oc5ccccc45)cc3)cc2[N+](=O)[O-])cc1O,635.6060000000002,7.077500000000007
CHEMBL1086229,74.0,nM,=,Cc1cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc(C)c1O[C@H](Cc1ccccc1)C(=O)O,552.6700000000003,9.049140000000005
CHEMBL25008,470.0,nM,=,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1-c1ccc(-c2cc(Br)c(OCC(=O)O)c(Br)c2)cc1,611.2080000000002,7.991220000000006
CHEMBL24501,740.0,nM,=,O=C(c1ccccc1)c1oc2ccccc2c1-c1ccc(-c2ccc(O)cc2)cc1,390.4380000000001,6.703400000000006
CHEMBL1082299,288.4,nM,=,O=C(O)[C@H](CCc1ccccc1)Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,712.5030000000002,10.815899999999989
CHEMBL441959,26.0,nM,=,O=C(O)c1cc(S(=O)(=O)Oc2ccc(-c3ccc(-c4c(Cc5ccccc5)oc5ccccc45)cc3)cc2)ccc1O,576.6260000000003,7.529100000000007
CHEMBL24267,446.68,nM,=,Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,550.315,9.0567
CHEMBL24566,32.0,nM,=,Cc1sc(Cc2ccccc2)c(-c2ccc(-c3ccc(OS(=O)(=O)c4ccc(C(=O)O)c(O)c4)cc3)cc2)c1C,570.6880000000002,7.461240000000007
CHEMBL25558,270.0,nM,=,O=C(O)C(Cc1ccccc1)Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1,524.6160000000003,8.432300000000005
CHEMBL1083272,77.0,nM,=,COc1ccc(Cc2sc3ccccc3c2-c2ccc(-c3ccc(O[C@H](Cc4ccccc4)C(=O)O)cc3)cc2)cc1,570.7100000000003,8.909400000000003
CHEMBL190535,85.0,nM,=,COc1ccc(Cc2sc3ccccc3c2-c2ccc(-c3ccc(O[C@H](Cc4ccccc4)C(=O)O)cc3)cc2)c(OC)c1,600.7360000000002,8.918000000000003
CHEMBL26399,52.0,nM,=,CCCCC(Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1Br)C(=O)O,648.3910000000003,9.904799999999996
CHEMBL282113,800.0,nM,=,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1-c1ccc(-c2ccc(OCC(=O)O)cc2)cc1,453.41600000000017,6.466220000000005
CHEMBL1083269,676.08,nM,=,O=C(c1ccccc1)c1oc2ccccc2c1-c1ccc(-c2ccc(O[C@H](Cc3ccccc3)C(=O)O)cc2)cc1,538.5990000000003,8.072500000000007
CHEMBL187610,57.54,nM,=,O=C(O)[C@@H](Cc1ccccc1)Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,619.5800000000003,9.663299999999996
CHEMBL25486,44.0,nM,=,O=C(O)C(CCN1C(=O)c2ccccc2C1=O)Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,781.5220000000003,9.869399999999994
CHEMBL25322,180.0,nM,=,O=C(O)c1ccccc1C(=O)NCCC(Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br)C(=O)O,799.5370000000001,9.701399999999998
CHEMBL282372,169.82,nM,=,O=C(O)COc1ccc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1C1CCCC1,502.6100000000003,8.478600000000004
CHEMBL3350942,350.0,nM,=,O=C(O)[C@@H](Cc1ccccc1)Oc1ccc(-c2ccc(-c3oc4ccccc4c3Cc3ccccc3)cc2)cc1,524.6160000000003,8.432300000000005
CHEMBL26103,25.0,nM,=,COc1cccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc(-c3cccc(OC)c3)c2OCC(=O)O)c1,662.8070000000001,10.640699999999994
CHEMBL285307,30.0,nM,=,O=C(O)c1ccc(S(=O)(=O)Oc2c(Br)cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc2Br)cc1O,750.4860000000002,9.522599999999994
CHEMBL3350948,340.0,nM,=,O=C(O)[C@H](CCN1C(=O)c2ccccc2C1=O)Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1,607.6620000000004,7.875900000000008
CHEMBL3350939,120.0,nM,=,O=C(O)[C@@H](Cc1ccccc1)Oc1ccc(-c2ccc(-c3c(Cc4ccc(O)cc4O)sc4ccccc34)cc2)cc1,572.6820000000002,8.312000000000005
CHEMBL1086230,54.95,nM,=,O=C(O)[C@H](Cc1ccccc1)Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1C1CCCC1,592.735,10.089899999999995
CHEMBL287278,106.0,nM,=,O=C(O)c1cccc(S(=O)(=O)Oc2ccc(-c3ccc(-c4c(Cc5ccccc5)oc5ccccc45)cc3)cc2)c1,560.6270000000003,7.823500000000007
CHEMBL282306,912.01,nM,=,Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1,376.45500000000004,7.0632000000000055
CHEMBL1083714,25.0,nM,=,O=C(O)[C@@H](Cc1ccccc1)Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,698.4760000000002,10.42579999999999
CHEMBL283635,360.0,nM,=,O=C(O)COc1ccc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,529.4550000000002,8.052000000000005
